Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,374,0.16681534344335414
All,CHAPLAIN,14,0.006244424620874219
All,CLINICIAN,1026,0.4576271186440678
All,COACH,439,0.19580731489741302
All,OTHER,1,0.00044603033006244426
All,PEER,6,0.0026761819803746653
All,PSYCHIATRIST,359,0.1601248884924175
All,UNDEFINED,23,0.010258697591436218
Mild,CARE_MANAGER,157,0.2038961038961039
Mild,CHAPLAIN,8,0.01038961038961039
Mild,CLINICIAN,157,0.2038961038961039
Mild,COACH,366,0.4753246753246753
Mild,OTHER,1,0.0012987012987012987
Mild,PSYCHIATRIST,70,0.09090909090909091
Mild,UNDEFINED,11,0.014285714285714285
Moderate,CARE_MANAGER,202,0.16134185303514376
Moderate,CHAPLAIN,5,0.003993610223642172
Moderate,CLINICIAN,824,0.65814696485623
Moderate,COACH,61,0.048722044728434506
Moderate,PEER,4,0.003194888178913738
Moderate,PSYCHIATRIST,144,0.11501597444089456
Moderate,UNDEFINED,12,0.009584664536741214
Severe,CARE_MANAGER,17,0.07488986784140969
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,49,0.21585903083700442
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
