Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,310,0.13668430335097
All,CHAPLAIN,15,0.006613756613756613
All,CLINICIAN,1098,0.48412698412698413
All,COACH,444,0.19576719576719576
All,OTHER,1,0.0004409171075837742
All,PEER,6,0.0026455026455026454
All,PSYCHIATRIST,359,0.15828924162257496
All,UNDEFINED,35,0.015432098765432098
Mild,CARE_MANAGER,109,0.13974358974358975
Mild,CHAPLAIN,9,0.011538461538461539
Mild,CLINICIAN,205,0.26282051282051283
Mild,COACH,366,0.46923076923076923
Mild,OTHER,1,0.001282051282051282
Mild,PSYCHIATRIST,70,0.08974358974358974
Mild,UNDEFINED,20,0.02564102564102564
Moderate,CARE_MANAGER,189,0.14928909952606634
Moderate,CHAPLAIN,5,0.0039494470774091624
Moderate,CLINICIAN,845,0.6674565560821485
Moderate,COACH,66,0.052132701421800945
Moderate,PEER,4,0.00315955766192733
Moderate,PSYCHIATRIST,144,0.11374407582938388
Moderate,UNDEFINED,13,0.010268562401263823
Severe,CARE_MANAGER,14,0.0611353711790393
Severe,CHAPLAIN,1,0.004366812227074236
Severe,CLINICIAN,52,0.22707423580786026
Severe,COACH,13,0.056768558951965066
Severe,PEER,2,0.008733624454148471
Severe,PSYCHIATRIST,145,0.6331877729257642
Severe,UNDEFINED,2,0.008733624454148471
