Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1544,0.3371915265341778
All Appts,CHAPLAIN,35,0.007643590303559729
All Appts,CLINICIAN,1361,0.2972264686612798
All Appts,COACH,1006,0.21969862415374536
All Appts,OTHER,2,0.00043677658877484165
All Appts,PEER,11,0.0024022712382616293
All Appts,PSYCHIATRIST,443,0.09674601441362743
All Appts,UNDEFINED,177,0.038654728106573485
All Appts - Past 90 Days,CARE_MANAGER,70,0.35714285714285715
All Appts - Past 90 Days,CHAPLAIN,2,0.01020408163265306
All Appts - Past 90 Days,COACH,42,0.21428571428571427
All Appts - Past 90 Days,UNDEFINED,82,0.41836734693877553
Appts with Escalation,CARE_MANAGER,374,0.1671134941912422
Appts with Escalation,CHAPLAIN,14,0.006255585344057194
Appts with Escalation,CLINICIAN,1026,0.4584450402144772
Appts with Escalation,COACH,439,0.1961572832886506
Appts with Escalation,OTHER,1,0.00044682752457551384
Appts with Escalation,PEER,6,0.002680965147453083
Appts with Escalation,PSYCHIATRIST,359,0.16041108132260948
Appts with Escalation,UNDEFINED,19,0.008489722966934763
Appts with Escalation - Past 90 Days,CARE_MANAGER,2,0.25
Appts with Escalation - Past 90 Days,COACH,3,0.375
Appts with Escalation - Past 90 Days,UNDEFINED,3,0.375
