Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,310,0.13710747456877487
All,CHAPLAIN,14,0.006191950464396285
All,CLINICIAN,1096,0.48474126492702346
All,COACH,443,0.1959310039805396
All,OTHER,1,0.0004422821760283061
All,PEER,6,0.0026536930561698365
All,PSYCHIATRIST,359,0.15877930119416186
All,UNDEFINED,32,0.014153029632905795
Mild,CARE_MANAGER,109,0.14010282776349614
Mild,CHAPLAIN,8,0.010282776349614395
Mild,CLINICIAN,205,0.2634961439588689
Mild,COACH,366,0.4704370179948586
Mild,OTHER,1,0.0012853470437017994
Mild,PSYCHIATRIST,70,0.08997429305912596
Mild,UNDEFINED,19,0.02442159383033419
Moderate,CARE_MANAGER,189,0.1496437054631829
Moderate,CHAPLAIN,5,0.00395882818685669
Moderate,CLINICIAN,843,0.667458432304038
Moderate,COACH,65,0.05146476642913698
Moderate,PEER,4,0.003167062549485352
Moderate,PSYCHIATRIST,144,0.11401425178147269
Moderate,UNDEFINED,13,0.010292953285827395
Severe,CARE_MANAGER,14,0.06167400881057269
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,52,0.2290748898678414
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
