Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,505,0.1032719836400818
All Appts,CHAPLAIN,42,0.008588957055214725
All Appts,CLINICIAN,2540,0.5194274028629857
All Appts,COACH,1074,0.2196319018404908
All Appts,OTHER,2,0.00040899795501022495
All Appts,PEER,11,0.0022494887525562374
All Appts,PSYCHIATRIST,443,0.09059304703476483
All Appts,UNDEFINED,273,0.0558282208588957
All Appts - Past 90 Days,CHAPLAIN,4,0.018604651162790697
All Appts - Past 90 Days,CLINICIAN,99,0.4604651162790698
All Appts - Past 90 Days,COACH,46,0.21395348837209302
All Appts - Past 90 Days,UNDEFINED,66,0.30697674418604654
Appts with Escalation,CARE_MANAGER,310,0.13692579505300354
Appts with Escalation,CHAPLAIN,15,0.0066254416961130744
Appts with Escalation,CLINICIAN,1096,0.4840989399293286
Appts with Escalation,COACH,443,0.1956713780918728
Appts with Escalation,OTHER,1,0.00044169611307420494
Appts with Escalation,PEER,6,0.00265017667844523
Appts with Escalation,PSYCHIATRIST,359,0.15856890459363956
Appts with Escalation,UNDEFINED,34,0.015017667844522967
Appts with Escalation - Past 90 Days,CHAPLAIN,1,0.09090909090909091
Appts with Escalation - Past 90 Days,CLINICIAN,1,0.09090909090909091
Appts with Escalation - Past 90 Days,COACH,1,0.09090909090909091
Appts with Escalation - Past 90 Days,UNDEFINED,8,0.7272727272727273
