Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,505,0.09982209922909666
All Appts,CHAPLAIN,48,0.00948804111484483
All Appts,CLINICIAN,2610,0.5159122356196877
All Appts,COACH,1107,0.21881794821110892
All Appts,OTHER,2,0.000395335046451868
All Appts,PEER,11,0.002174342755485274
All Appts,PSYCHIATRIST,443,0.08756671278908876
All Appts,PSYCHOLOGIST,6,0.0011860051393556038
All Appts,UNDEFINED,327,0.06463728009488041
All Appts - Past 90 Days,CHAPLAIN,8,0.0449438202247191
All Appts - Past 90 Days,CLINICIAN,75,0.42134831460674155
All Appts - Past 90 Days,COACH,36,0.20224719101123595
All Appts - Past 90 Days,PSYCHOLOGIST,2,0.011235955056179775
All Appts - Past 90 Days,UNDEFINED,57,0.3202247191011236
Appts with Escalation,CARE_MANAGER,310,0.13668430335097
Appts with Escalation,CHAPLAIN,15,0.006613756613756613
Appts with Escalation,CLINICIAN,1098,0.48412698412698413
Appts with Escalation,COACH,444,0.19576719576719576
Appts with Escalation,OTHER,1,0.0004409171075837742
Appts with Escalation,PEER,6,0.0026455026455026454
Appts with Escalation,PSYCHIATRIST,359,0.15828924162257496
Appts with Escalation,UNDEFINED,35,0.015432098765432098
Appts with Escalation - Past 90 Days,CHAPLAIN,1,0.2
Appts with Escalation - Past 90 Days,CLINICIAN,2,0.4
Appts with Escalation - Past 90 Days,COACH,1,0.2
Appts with Escalation - Past 90 Days,UNDEFINED,1,0.2
