Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,310,0.13692579505300354
All,CHAPLAIN,15,0.0066254416961130744
All,CLINICIAN,1096,0.4840989399293286
All,COACH,443,0.1956713780918728
All,OTHER,1,0.00044169611307420494
All,PEER,6,0.00265017667844523
All,PSYCHIATRIST,359,0.15856890459363956
All,UNDEFINED,34,0.015017667844522967
Mild,CARE_MANAGER,109,0.1399229781771502
Mild,CHAPLAIN,9,0.011553273427471117
Mild,CLINICIAN,205,0.2631578947368421
Mild,COACH,366,0.46983311938382544
Mild,OTHER,1,0.0012836970474967907
Mild,PSYCHIATRIST,70,0.08985879332477535
Mild,UNDEFINED,19,0.024390243902439025
Moderate,CARE_MANAGER,189,0.1496437054631829
Moderate,CHAPLAIN,5,0.00395882818685669
Moderate,CLINICIAN,843,0.667458432304038
Moderate,COACH,65,0.05146476642913698
Moderate,PEER,4,0.003167062549485352
Moderate,PSYCHIATRIST,144,0.11401425178147269
Moderate,UNDEFINED,13,0.010292953285827395
Severe,CARE_MANAGER,14,0.0611353711790393
Severe,CHAPLAIN,1,0.004366812227074236
Severe,CLINICIAN,52,0.22707423580786026
Severe,COACH,13,0.056768558951965066
Severe,PEER,2,0.008733624454148471
Severe,PSYCHIATRIST,145,0.6331877729257642
Severe,UNDEFINED,2,0.008733624454148471
