Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,374,0.1671881984801073
All,CHAPLAIN,14,0.006258381761287439
All,CLINICIAN,1026,0.4586499776486366
All,COACH,439,0.19624497094322754
All,OTHER,1,0.0004470272686633885
All,PEER,6,0.002682163611980331
All,PSYCHIATRIST,359,0.16048278945015645
All,UNDEFINED,18,0.008046490835940992
Mild,CARE_MANAGER,157,0.2046936114732725
Mild,CHAPLAIN,8,0.010430247718383311
Mild,CLINICIAN,157,0.2046936114732725
Mild,COACH,366,0.4771838331160365
Mild,OTHER,1,0.001303780964797914
Mild,PSYCHIATRIST,70,0.09126466753585398
Mild,UNDEFINED,8,0.010430247718383311
Moderate,CARE_MANAGER,202,0.1616
Moderate,CHAPLAIN,5,0.004
Moderate,CLINICIAN,824,0.6592
Moderate,COACH,61,0.0488
Moderate,PEER,4,0.0032
Moderate,PSYCHIATRIST,144,0.1152
Moderate,UNDEFINED,10,0.008
Severe,CARE_MANAGER,17,0.07488986784140969
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,49,0.21585903083700442
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
