Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,356,0.07529610829103214
All Appts,CHAPLAIN,38,0.008037225042301184
All Appts,CLINICIAN,2746,0.5807952622673435
All Appts,COACH,1040,0.21996615905245348
All Appts,OTHER,2,0.00042301184433164127
All Appts,PEER,11,0.002326565143824027
All Appts,PSYCHIATRIST,443,0.09369712351945854
All Appts,UNDEFINED,92,0.0194585448392555
All Appts - Past 90 Days,CHAPLAIN,3,0.017142857142857144
All Appts - Past 90 Days,CLINICIAN,113,0.6457142857142857
All Appts - Past 90 Days,COACH,45,0.2571428571428571
All Appts - Past 90 Days,UNDEFINED,14,0.08
Appts with Escalation,CARE_MANAGER,219,0.09733333333333333
Appts with Escalation,CHAPLAIN,14,0.006222222222222222
Appts with Escalation,CLINICIAN,1199,0.5328888888888889
Appts with Escalation,COACH,441,0.196
Appts with Escalation,OTHER,1,0.00044444444444444447
Appts with Escalation,PEER,6,0.0026666666666666666
Appts with Escalation,PSYCHIATRIST,359,0.15955555555555556
Appts with Escalation,UNDEFINED,11,0.004888888888888889
Appts with Escalation - Past 90 Days,CLINICIAN,9,0.6923076923076923
Appts with Escalation - Past 90 Days,COACH,2,0.15384615384615385
Appts with Escalation - Past 90 Days,UNDEFINED,2,0.15384615384615385
