Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,505,0.10390946502057613
All Appts,CHAPLAIN,40,0.00823045267489712
All Appts,CLINICIAN,2532,0.5209876543209877
All Appts,COACH,1067,0.21954732510288066
All Appts,OTHER,2,0.00041152263374485596
All Appts,PEER,11,0.0022633744855967077
All Appts,PSYCHIATRIST,443,0.09115226337448559
All Appts,UNDEFINED,260,0.053497942386831275
All Appts - Past 90 Days,CHAPLAIN,4,0.01809954751131222
All Appts - Past 90 Days,CLINICIAN,108,0.48868778280542985
All Appts - Past 90 Days,COACH,49,0.22171945701357465
All Appts - Past 90 Days,UNDEFINED,60,0.27149321266968324
Appts with Escalation,CARE_MANAGER,310,0.136986301369863
Appts with Escalation,CHAPLAIN,14,0.0061864781263809105
Appts with Escalation,CLINICIAN,1096,0.484312859036677
Appts with Escalation,COACH,443,0.19575784357048165
Appts with Escalation,OTHER,1,0.0004418912947414936
Appts with Escalation,PEER,6,0.0026513477684489617
Appts with Escalation,PSYCHIATRIST,359,0.1586389748121962
Appts with Escalation,UNDEFINED,34,0.015024304021210782
Appts with Escalation - Past 90 Days,CLINICIAN,1,0.08333333333333333
Appts with Escalation - Past 90 Days,COACH,2,0.16666666666666666
Appts with Escalation - Past 90 Days,UNDEFINED,9,0.75
