Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,370,0.16674177557458314
All,CHAPLAIN,14,0.006309148264984227
All,CLINICIAN,1026,0.46237043713384407
All,COACH,423,0.19062640829202343
All,OTHER,10,0.004506534474988734
All,PEER,6,0.0027039206849932404
All,PSYCHIATRIST,359,0.16178458765209555
All,UNDEFINED,11,0.004957187922487607
Mild,CARE_MANAGER,156,0.20607661822985468
Mild,CHAPLAIN,8,0.010568031704095112
Mild,CLINICIAN,157,0.2073976221928666
Mild,COACH,355,0.46895640686922063
Mild,OTHER,8,0.010568031704095112
Mild,PSYCHIATRIST,70,0.09247027741083223
Mild,UNDEFINED,3,0.003963011889035667
Moderate,CARE_MANAGER,200,0.16090104585679807
Moderate,CHAPLAIN,5,0.004022526146419952
Moderate,CLINICIAN,824,0.6629123089300081
Moderate,COACH,56,0.04505229283990346
Moderate,OTHER,2,0.0016090104585679806
Moderate,PEER,4,0.003218020917135961
Moderate,PSYCHIATRIST,144,0.11584875301689461
Moderate,UNDEFINED,8,0.006436041834271922
Severe,CARE_MANAGER,16,0.07079646017699115
Severe,CHAPLAIN,1,0.004424778761061947
Severe,CLINICIAN,49,0.2168141592920354
Severe,COACH,13,0.05752212389380531
Severe,PEER,2,0.008849557522123894
Severe,PSYCHIATRIST,145,0.6415929203539823
