Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,367,0.16628908019936564
All,CHAPLAIN,14,0.006343452650657001
All,CLINICIAN,1026,0.4648844585410059
All,COACH,417,0.18894426823742638
All,OTHER,10,0.004531037607612143
All,PEER,6,0.002718622564567286
All,PSYCHIATRIST,359,0.16266425011327593
All,UNDEFINED,8,0.0036248300860897147
Mild,CARE_MANAGER,154,0.20505992010652463
Mild,CHAPLAIN,8,0.010652463382157125
Mild,CLINICIAN,157,0.20905459387483355
Mild,COACH,351,0.4673768308921438
Mild,OTHER,8,0.010652463382157125
Mild,PSYCHIATRIST,70,0.09320905459387484
Mild,UNDEFINED,3,0.0039946737683089215
Moderate,CARE_MANAGER,200,0.16155088852988692
Moderate,CHAPLAIN,5,0.004038772213247173
Moderate,CLINICIAN,824,0.6655896607431341
Moderate,COACH,54,0.04361873990306947
Moderate,OTHER,2,0.0016155088852988692
Moderate,PEER,4,0.0032310177705977385
Moderate,PSYCHIATRIST,144,0.11631663974151858
Moderate,UNDEFINED,5,0.004038772213247173
Severe,CARE_MANAGER,15,0.06666666666666667
Severe,CHAPLAIN,1,0.0044444444444444444
Severe,CLINICIAN,49,0.21777777777777776
Severe,COACH,13,0.057777777777777775
Severe,PEER,2,0.008888888888888889
Severe,PSYCHIATRIST,145,0.6444444444444445
