Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,367,0.16666666666666666
All,CHAPLAIN,14,0.006357856494096276
All,CLINICIAN,1026,0.4659400544959128
All,COACH,416,0.18891916439600362
All,OTHER,10,0.004541326067211626
All,PEER,6,0.0027247956403269754
All,PSYCHIATRIST,359,0.16303360581289736
All,UNDEFINED,4,0.0018165304268846503
Mild,CARE_MANAGER,154,0.205607476635514
Mild,CHAPLAIN,8,0.010680907877169559
Mild,CLINICIAN,157,0.2096128170894526
Mild,COACH,351,0.46862483311081443
Mild,OTHER,8,0.010680907877169559
Mild,PSYCHIATRIST,70,0.09345794392523364
Mild,UNDEFINED,1,0.0013351134846461949
Moderate,CARE_MANAGER,200,0.16194331983805668
Moderate,CHAPLAIN,5,0.004048582995951417
Moderate,CLINICIAN,824,0.6672064777327935
Moderate,COACH,53,0.04291497975708502
Moderate,OTHER,2,0.0016194331983805667
Moderate,PEER,4,0.0032388663967611335
Moderate,PSYCHIATRIST,144,0.11659919028340081
Moderate,UNDEFINED,3,0.0024291497975708503
Severe,CARE_MANAGER,15,0.06666666666666667
Severe,CHAPLAIN,1,0.0044444444444444444
Severe,CLINICIAN,49,0.21777777777777776
Severe,COACH,13,0.057777777777777775
Severe,PEER,2,0.008888888888888889
Severe,PSYCHIATRIST,145,0.6444444444444445
