Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1482,0.3367416496250852
All Appts,CHAPLAIN,33,0.007498295841854124
All Appts,CLINICIAN,1361,0.3092478982049534
All Appts,COACH,965,0.21926834810270393
All Appts,OTHER,2,0.0004544421722335833
All Appts,PEER,11,0.002499431947284708
All Appts,PSYCHIATRIST,443,0.1006589411497387
All Appts,UNDEFINED,104,0.02363099295614633
All Appts - Past 90 Days,CARE_MANAGER,87,0.3936651583710407
All Appts - Past 90 Days,CHAPLAIN,2,0.00904977375565611
All Appts - Past 90 Days,CLINICIAN,2,0.00904977375565611
All Appts - Past 90 Days,COACH,70,0.3167420814479638
All Appts - Past 90 Days,UNDEFINED,60,0.27149321266968324
Appts with Escalation,CARE_MANAGER,373,0.1671896010757508
Appts with Escalation,CHAPLAIN,14,0.0062752129090094125
Appts with Escalation,CLINICIAN,1026,0.4598834603316898
Appts with Escalation,COACH,436,0.19542805916629313
Appts with Escalation,OTHER,1,0.00044822949350067237
Appts with Escalation,PEER,6,0.002689376961004034
Appts with Escalation,PSYCHIATRIST,359,0.16091438816674136
Appts with Escalation,UNDEFINED,16,0.007171671896010758
Appts with Escalation - Past 90 Days,CARE_MANAGER,6,0.23076923076923078
Appts with Escalation - Past 90 Days,COACH,11,0.4230769230769231
Appts with Escalation - Past 90 Days,UNDEFINED,9,0.34615384615384615
