Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1517,0.3373360017789638
All Appts,CHAPLAIN,34,0.00756059595285746
All Appts,CLINICIAN,1361,0.3026462085835001
All Appts,COACH,984,0.218812541694463
All Appts,OTHER,2,0.00044474093840338
All Appts,PEER,11,0.0024460751612185904
All Appts,PSYCHIATRIST,443,0.09851011785634868
All Appts,UNDEFINED,145,0.03224371803424505
All Appts - Past 90 Days,CARE_MANAGER,91,0.39737991266375544
All Appts - Past 90 Days,CHAPLAIN,1,0.004366812227074236
All Appts - Past 90 Days,COACH,55,0.24017467248908297
All Appts - Past 90 Days,UNDEFINED,82,0.35807860262008734
Appts with Escalation,CARE_MANAGER,374,0.16748768472906403
Appts with Escalation,CHAPLAIN,14,0.006269592476489028
Appts with Escalation,CLINICIAN,1026,0.45947156291983876
Appts with Escalation,COACH,437,0.19570085087326466
Appts with Escalation,OTHER,1,0.0004478280340349306
Appts with Escalation,PEER,6,0.0026869682042095834
Appts with Escalation,PSYCHIATRIST,359,0.16077026421854007
Appts with Escalation,UNDEFINED,16,0.007165248544558889
Appts with Escalation - Past 90 Days,CARE_MANAGER,4,0.2857142857142857
Appts with Escalation - Past 90 Days,COACH,5,0.35714285714285715
Appts with Escalation - Past 90 Days,UNDEFINED,5,0.35714285714285715
