Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1580,0.3378956372968349
All Appts,CHAPLAIN,38,0.008126603934987169
All Appts,CLINICIAN,1361,0.29106073567151414
All Appts,COACH,1032,0.22070145423438836
All Appts,OTHER,2,0.000427715996578272
All Appts,PEER,11,0.002352437981180496
All Appts,PSYCHIATRIST,443,0.09473909324208725
All Appts,UNDEFINED,209,0.044696321642429426
All Appts - Past 90 Days,CARE_MANAGER,60,0.37267080745341613
All Appts - Past 90 Days,CHAPLAIN,3,0.018633540372670808
All Appts - Past 90 Days,COACH,39,0.2422360248447205
All Appts - Past 90 Days,UNDEFINED,59,0.36645962732919257
Appts with Escalation,CARE_MANAGER,374,0.16644414775255897
Appts with Escalation,CHAPLAIN,14,0.006230529595015576
Appts with Escalation,CLINICIAN,1026,0.45660881174899864
Appts with Escalation,COACH,440,0.19581664441477525
Appts with Escalation,OTHER,1,0.0004450378282153983
Appts with Escalation,PEER,6,0.0026702269692923898
Appts with Escalation,PSYCHIATRIST,359,0.159768580329328
Appts with Escalation,UNDEFINED,27,0.012016021361815754
Appts with Escalation - Past 90 Days,COACH,3,0.23076923076923078
Appts with Escalation - Past 90 Days,UNDEFINED,10,0.7692307692307693
