Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,374,0.16666666666666666
All,CHAPLAIN,14,0.006238859180035651
All,CLINICIAN,1026,0.4572192513368984
All,COACH,440,0.19607843137254902
All,OTHER,1,0.000445632798573975
All,PEER,6,0.00267379679144385
All,PSYCHIATRIST,359,0.15998217468805703
All,UNDEFINED,24,0.0106951871657754
Mild,CARE_MANAGER,157,0.20363164721141375
Mild,CHAPLAIN,8,0.010376134889753566
Mild,CLINICIAN,157,0.20363164721141375
Mild,COACH,366,0.47470817120622566
Mild,OTHER,1,0.0012970168612191958
Mild,PSYCHIATRIST,70,0.0907911802853437
Mild,UNDEFINED,12,0.01556420233463035
Moderate,CARE_MANAGER,202,0.16121308858739025
Moderate,CHAPLAIN,5,0.0039904229848363925
Moderate,CLINICIAN,824,0.6576217079010375
Moderate,COACH,62,0.04948124501197127
Moderate,PEER,4,0.0031923383878691143
Moderate,PSYCHIATRIST,144,0.1149241819632881
Moderate,UNDEFINED,12,0.009577015163607342
Severe,CARE_MANAGER,17,0.07488986784140969
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,49,0.21585903083700442
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
