Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1538,0.3371328364752302
All Appts,CHAPLAIN,35,0.0076720736519070585
All Appts,CLINICIAN,1361,0.29833406400701445
All Appts,COACH,1002,0.21964050854888206
All Appts,OTHER,2,0.00043840420868040335
All Appts,PEER,11,0.0024112231477422183
All Appts,PSYCHIATRIST,443,0.09710653222270933
All Appts,UNDEFINED,170,0.037264357737834285
All Appts - Past 90 Days,CARE_MANAGER,71,0.3622448979591837
All Appts - Past 90 Days,CHAPLAIN,2,0.01020408163265306
All Appts - Past 90 Days,COACH,41,0.20918367346938777
All Appts - Past 90 Days,UNDEFINED,82,0.41836734693877553
Appts with Escalation,CARE_MANAGER,374,0.1671134941912422
Appts with Escalation,CHAPLAIN,14,0.006255585344057194
Appts with Escalation,CLINICIAN,1026,0.4584450402144772
Appts with Escalation,COACH,439,0.1961572832886506
Appts with Escalation,OTHER,1,0.00044682752457551384
Appts with Escalation,PEER,6,0.002680965147453083
Appts with Escalation,PSYCHIATRIST,359,0.16041108132260948
Appts with Escalation,UNDEFINED,19,0.008489722966934763
Appts with Escalation - Past 90 Days,CARE_MANAGER,2,0.2
Appts with Escalation - Past 90 Days,COACH,4,0.4
Appts with Escalation - Past 90 Days,UNDEFINED,4,0.4
