Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1411,0.3333333333333333
All Appts,CHAPLAIN,32,0.007559650366170565
All Appts,CLINICIAN,1361,0.3215213796361918
All Appts,COACH,901,0.21285140562248997
All Appts,OTHER,22,0.005197259626742263
All Appts,PEER,11,0.0025986298133711316
All Appts,PSYCHIATRIST,443,0.10465390975667375
All Appts,UNDEFINED,52,0.012284431845027168
All Appts - Past 90 Days,CARE_MANAGER,51,0.2947976878612717
All Appts - Past 90 Days,CHAPLAIN,1,0.005780346820809248
All Appts - Past 90 Days,CLINICIAN,20,0.11560693641618497
All Appts - Past 90 Days,COACH,49,0.2832369942196532
All Appts - Past 90 Days,UNDEFINED,52,0.30057803468208094
Appts with Escalation,CARE_MANAGER,369,0.16659142212189615
Appts with Escalation,CHAPLAIN,14,0.006320541760722348
Appts with Escalation,CLINICIAN,1026,0.4632054176072235
Appts with Escalation,COACH,421,0.19006772009029346
Appts with Escalation,OTHER,10,0.004514672686230248
Appts with Escalation,PEER,6,0.002708803611738149
Appts with Escalation,PSYCHIATRIST,359,0.1620767494356659
Appts with Escalation,UNDEFINED,10,0.004514672686230248
Appts with Escalation - Past 90 Days,CARE_MANAGER,3,0.16666666666666666
Appts with Escalation - Past 90 Days,CLINICIAN,1,0.05555555555555555
Appts with Escalation - Past 90 Days,COACH,4,0.2222222222222222
Appts with Escalation - Past 90 Days,UNDEFINED,10,0.5555555555555556
