Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,370,0.16651665166516652
All,CHAPLAIN,14,0.0063006300630063005
All,CLINICIAN,1026,0.46174617461746176
All,COACH,424,0.19081908190819083
All,OTHER,10,0.004500450045004501
All,PEER,6,0.0027002700270027003
All,PSYCHIATRIST,359,0.16156615661566157
All,UNDEFINED,13,0.0058505850585058505
Mild,CARE_MANAGER,156,0.20607661822985468
Mild,CHAPLAIN,8,0.010568031704095112
Mild,CLINICIAN,157,0.2073976221928666
Mild,COACH,355,0.46895640686922063
Mild,OTHER,8,0.010568031704095112
Mild,PSYCHIATRIST,70,0.09247027741083223
Mild,UNDEFINED,3,0.003963011889035667
Moderate,CARE_MANAGER,200,0.16051364365971107
Moderate,CHAPLAIN,5,0.0040128410914927765
Moderate,CLINICIAN,824,0.6613162118780096
Moderate,COACH,57,0.045746388443017656
Moderate,OTHER,2,0.0016051364365971107
Moderate,PEER,4,0.0032102728731942215
Moderate,PSYCHIATRIST,144,0.11556982343499198
Moderate,UNDEFINED,10,0.008025682182985553
Severe,CARE_MANAGER,16,0.07079646017699115
Severe,CHAPLAIN,1,0.004424778761061947
Severe,CLINICIAN,49,0.2168141592920354
Severe,COACH,13,0.05752212389380531
Severe,PEER,2,0.008849557522123894
Severe,PSYCHIATRIST,145,0.6415929203539823
