Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1525,0.33642179572027353
All Appts,CHAPLAIN,34,0.007500551511140525
All Appts,CLINICIAN,1361,0.300242664901831
All Appts,COACH,995,0.21950143392896537
All Appts,OTHER,2,0.00044120891242003087
All Appts,PEER,11,0.0024266490183101697
All Appts,PSYCHIATRIST,443,0.09772777410103684
All Appts,UNDEFINED,162,0.0357379219060225
All Appts - Past 90 Days,CARE_MANAGER,77,0.36666666666666664
All Appts - Past 90 Days,CHAPLAIN,1,0.004761904761904762
All Appts - Past 90 Days,COACH,49,0.23333333333333334
All Appts - Past 90 Days,UNDEFINED,83,0.3952380952380952
Appts with Escalation,CARE_MANAGER,374,0.167262969588551
Appts with Escalation,CHAPLAIN,14,0.006261180679785331
Appts with Escalation,CLINICIAN,1026,0.4588550983899821
Appts with Escalation,COACH,439,0.19633273703041146
Appts with Escalation,OTHER,1,0.0004472271914132379
Appts with Escalation,PEER,6,0.0026833631484794273
Appts with Escalation,PSYCHIATRIST,359,0.1605545617173524
Appts with Escalation,UNDEFINED,17,0.007602862254025045
Appts with Escalation - Past 90 Days,CARE_MANAGER,3,0.3
Appts with Escalation - Past 90 Days,COACH,5,0.5
Appts with Escalation - Past 90 Days,UNDEFINED,2,0.2
