Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1474,0.3361459521094641
All Appts,CHAPLAIN,33,0.007525655644241733
All Appts,CLINICIAN,1361,0.3103762827822121
All Appts,COACH,964,0.21984036488027367
All Appts,OTHER,2,0.00045610034207525655
All Appts,PEER,11,0.002508551881413911
All Appts,PSYCHIATRIST,443,0.10102622576966933
All Appts,UNDEFINED,97,0.02212086659064994
All Appts - Past 90 Days,CARE_MANAGER,88,0.4055299539170507
All Appts - Past 90 Days,CHAPLAIN,2,0.009216589861751152
All Appts - Past 90 Days,CLINICIAN,4,0.018433179723502304
All Appts - Past 90 Days,COACH,67,0.3087557603686636
All Appts - Past 90 Days,UNDEFINED,56,0.25806451612903225
Appts with Escalation,CARE_MANAGER,372,0.16681614349775784
Appts with Escalation,CHAPLAIN,14,0.006278026905829596
Appts with Escalation,CLINICIAN,1026,0.4600896860986547
Appts with Escalation,COACH,436,0.19551569506726457
Appts with Escalation,OTHER,1,0.0004484304932735426
Appts with Escalation,PEER,6,0.0026905829596412557
Appts with Escalation,PSYCHIATRIST,359,0.1609865470852018
Appts with Escalation,UNDEFINED,16,0.007174887892376682
Appts with Escalation - Past 90 Days,CARE_MANAGER,5,0.2
Appts with Escalation - Past 90 Days,COACH,11,0.44
Appts with Escalation - Past 90 Days,UNDEFINED,9,0.36
