Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,219,0.09733333333333333
All,CHAPLAIN,14,0.006222222222222222
All,CLINICIAN,1199,0.5328888888888889
All,COACH,441,0.196
All,OTHER,1,0.00044444444444444447
All,PEER,6,0.0026666666666666666
All,PSYCHIATRIST,359,0.15955555555555556
All,UNDEFINED,11,0.004888888888888889
Mild,CARE_MANAGER,77,0.09948320413436693
Mild,CHAPLAIN,8,0.0103359173126615
Mild,CLINICIAN,248,0.32041343669250644
Mild,COACH,366,0.4728682170542636
Mild,OTHER,1,0.0012919896640826874
Mild,PSYCHIATRIST,70,0.09043927648578812
Mild,UNDEFINED,4,0.00516795865633075
Moderate,CARE_MANAGER,132,0.10509554140127389
Moderate,CHAPLAIN,5,0.003980891719745223
Moderate,CLINICIAN,901,0.7173566878980892
Moderate,COACH,63,0.05015923566878981
Moderate,PEER,4,0.0031847133757961785
Moderate,PSYCHIATRIST,144,0.11464968152866242
Moderate,UNDEFINED,7,0.005573248407643312
Severe,CARE_MANAGER,10,0.04405286343612335
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,56,0.24669603524229075
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
