Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1550,0.33710308829926056
All Appts,CHAPLAIN,36,0.0078294910830796
All Appts,CLINICIAN,1361,0.29599826011309266
All Appts,COACH,1010,0.21966072205306655
All Appts,OTHER,2,0.00043497172683775554
All Appts,PEER,11,0.0023923444976076554
All Appts,PSYCHIATRIST,443,0.09634623749456285
All Appts,UNDEFINED,185,0.040234884732492385
All Appts - Past 90 Days,CARE_MANAGER,63,0.3684210526315789
All Appts - Past 90 Days,CHAPLAIN,1,0.005847953216374269
All Appts - Past 90 Days,COACH,42,0.24561403508771928
All Appts - Past 90 Days,UNDEFINED,65,0.38011695906432746
Appts with Escalation,CARE_MANAGER,374,0.1669642857142857
Appts with Escalation,CHAPLAIN,14,0.00625
Appts with Escalation,CLINICIAN,1026,0.45803571428571427
Appts with Escalation,COACH,439,0.19598214285714285
Appts with Escalation,OTHER,1,0.0004464285714285714
Appts with Escalation,PEER,6,0.0026785714285714286
Appts with Escalation,PSYCHIATRIST,359,0.16026785714285716
Appts with Escalation,UNDEFINED,21,0.009375
Appts with Escalation - Past 90 Days,CARE_MANAGER,1,0.16666666666666666
Appts with Escalation - Past 90 Days,COACH,2,0.3333333333333333
Appts with Escalation - Past 90 Days,UNDEFINED,3,0.5
