Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1427,0.33380116959064327
All Appts,CHAPLAIN,33,0.0077192982456140355
All Appts,CLINICIAN,1361,0.3183625730994152
All Appts,COACH,913,0.2135672514619883
All Appts,OTHER,22,0.005146198830409357
All Appts,PEER,11,0.0025730994152046785
All Appts,PSYCHIATRIST,443,0.10362573099415205
All Appts,UNDEFINED,65,0.0152046783625731
All Appts - Past 90 Days,CARE_MANAGER,57,0.3220338983050847
All Appts - Past 90 Days,CHAPLAIN,2,0.011299435028248588
All Appts - Past 90 Days,CLINICIAN,13,0.07344632768361582
All Appts - Past 90 Days,COACH,54,0.3050847457627119
All Appts - Past 90 Days,UNDEFINED,51,0.288135593220339
Appts with Escalation,CARE_MANAGER,370,0.16666666666666666
Appts with Escalation,CHAPLAIN,14,0.006306306306306306
Appts with Escalation,CLINICIAN,1026,0.46216216216216216
Appts with Escalation,COACH,424,0.19099099099099098
Appts with Escalation,OTHER,10,0.0045045045045045045
Appts with Escalation,PEER,6,0.002702702702702703
Appts with Escalation,PSYCHIATRIST,359,0.16171171171171173
Appts with Escalation,UNDEFINED,11,0.004954954954954955
Appts with Escalation - Past 90 Days,CARE_MANAGER,3,0.14285714285714285
Appts with Escalation - Past 90 Days,COACH,8,0.38095238095238093
Appts with Escalation - Past 90 Days,UNDEFINED,10,0.47619047619047616
