Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1473,0.336455002284148
All Appts,CHAPLAIN,33,0.007537688442211055
All Appts,CLINICIAN,1361,0.31087254454088625
All Appts,COACH,963,0.21996345363179534
All Appts,OTHER,2,0.00045682960255824577
All Appts,PEER,11,0.002512562814070352
All Appts,PSYCHIATRIST,443,0.10118775696665144
All Appts,UNDEFINED,92,0.021014161717679305
All Appts - Past 90 Days,CARE_MANAGER,88,0.4074074074074074
All Appts - Past 90 Days,CHAPLAIN,2,0.009259259259259259
All Appts - Past 90 Days,CLINICIAN,5,0.023148148148148147
All Appts - Past 90 Days,COACH,66,0.3055555555555556
All Appts - Past 90 Days,UNDEFINED,55,0.25462962962962965
Appts with Escalation,CARE_MANAGER,372,0.16681614349775784
Appts with Escalation,CHAPLAIN,14,0.006278026905829596
Appts with Escalation,CLINICIAN,1026,0.4600896860986547
Appts with Escalation,COACH,436,0.19551569506726457
Appts with Escalation,OTHER,1,0.0004484304932735426
Appts with Escalation,PEER,6,0.0026905829596412557
Appts with Escalation,PSYCHIATRIST,359,0.1609865470852018
Appts with Escalation,UNDEFINED,16,0.007174887892376682
Appts with Escalation - Past 90 Days,CARE_MANAGER,5,0.20833333333333334
Appts with Escalation - Past 90 Days,COACH,11,0.4583333333333333
Appts with Escalation - Past 90 Days,UNDEFINED,8,0.3333333333333333
