Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1427,0.3344269978907898
All Appts,CHAPLAIN,33,0.007733770799156316
All Appts,CLINICIAN,1361,0.31895945629247713
All Appts,COACH,908,0.21279587532224045
All Appts,OTHER,22,0.005155847199437544
All Appts,PEER,11,0.002577923599718772
All Appts,PSYCHIATRIST,443,0.10382001406140146
All Appts,UNDEFINED,62,0.014530114834778533
All Appts - Past 90 Days,CARE_MANAGER,57,0.32571428571428573
All Appts - Past 90 Days,CHAPLAIN,2,0.011428571428571429
All Appts - Past 90 Days,CLINICIAN,16,0.09142857142857143
All Appts - Past 90 Days,COACH,51,0.2914285714285714
All Appts - Past 90 Days,UNDEFINED,49,0.28
Appts with Escalation,CARE_MANAGER,370,0.16674177557458314
Appts with Escalation,CHAPLAIN,14,0.006309148264984227
Appts with Escalation,CLINICIAN,1026,0.46237043713384407
Appts with Escalation,COACH,423,0.19062640829202343
Appts with Escalation,OTHER,10,0.004506534474988734
Appts with Escalation,PEER,6,0.0027039206849932404
Appts with Escalation,PSYCHIATRIST,359,0.16178458765209555
Appts with Escalation,UNDEFINED,11,0.004957187922487607
Appts with Escalation - Past 90 Days,CARE_MANAGER,3,0.14285714285714285
Appts with Escalation - Past 90 Days,COACH,8,0.38095238095238093
Appts with Escalation - Past 90 Days,UNDEFINED,10,0.47619047619047616
