Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1565,0.3380859796932383
All Appts,CHAPLAIN,36,0.007777057679844459
All Appts,CLINICIAN,1361,0.29401598617411967
All Appts,COACH,1016,0.21948585007561028
All Appts,OTHER,2,0.00043205875999135883
All Appts,PEER,11,0.0023763231799524736
All Appts,PSYCHIATRIST,443,0.09570101533808598
All Appts,UNDEFINED,195,0.04212572909915749
All Appts - Past 90 Days,CARE_MANAGER,58,0.3558282208588957
All Appts - Past 90 Days,CHAPLAIN,2,0.012269938650306749
All Appts - Past 90 Days,COACH,36,0.22085889570552147
All Appts - Past 90 Days,UNDEFINED,67,0.4110429447852761
Appts with Escalation,CARE_MANAGER,374,0.16666666666666666
Appts with Escalation,CHAPLAIN,14,0.006238859180035651
Appts with Escalation,CLINICIAN,1026,0.4572192513368984
Appts with Escalation,COACH,440,0.19607843137254902
Appts with Escalation,OTHER,1,0.000445632798573975
Appts with Escalation,PEER,6,0.00267379679144385
Appts with Escalation,PSYCHIATRIST,359,0.15998217468805703
Appts with Escalation,UNDEFINED,24,0.0106951871657754
Appts with Escalation - Past 90 Days,COACH,2,0.2222222222222222
Appts with Escalation - Past 90 Days,UNDEFINED,7,0.7777777777777778
