Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,375,0.16666666666666666
All,CHAPLAIN,14,0.006222222222222222
All,CLINICIAN,1026,0.456
All,COACH,441,0.196
All,OTHER,1,0.00044444444444444447
All,PEER,6,0.0026666666666666666
All,PSYCHIATRIST,359,0.15955555555555556
All,UNDEFINED,28,0.012444444444444444
Mild,CARE_MANAGER,157,0.20284237726098192
Mild,CHAPLAIN,8,0.0103359173126615
Mild,CLINICIAN,157,0.20284237726098192
Mild,COACH,366,0.4728682170542636
Mild,OTHER,1,0.0012919896640826874
Mild,PSYCHIATRIST,70,0.09043927648578812
Mild,UNDEFINED,15,0.01937984496124031
Moderate,CARE_MANAGER,203,0.16162420382165604
Moderate,CHAPLAIN,5,0.003980891719745223
Moderate,CLINICIAN,824,0.6560509554140127
Moderate,COACH,63,0.05015923566878981
Moderate,PEER,4,0.0031847133757961785
Moderate,PSYCHIATRIST,144,0.11464968152866242
Moderate,UNDEFINED,13,0.010350318471337579
Severe,CARE_MANAGER,17,0.07488986784140969
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,49,0.21585903083700442
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
