Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1522,0.3360565246191212
All Appts,CHAPLAIN,34,0.007507175977036874
All Appts,CLINICIAN,1361,0.3005078383749172
All Appts,COACH,994,0.21947449768160743
All Appts,OTHER,2,0.00044159858688452196
All Appts,PEER,11,0.002428792227864871
All Appts,PSYCHIATRIST,443,0.09781408699492161
All Appts,UNDEFINED,162,0.03576948553764628
All Appts - Past 90 Days,CARE_MANAGER,75,0.35545023696682465
All Appts - Past 90 Days,CHAPLAIN,1,0.004739336492890996
All Appts - Past 90 Days,COACH,50,0.23696682464454977
All Appts - Past 90 Days,UNDEFINED,85,0.4028436018957346
Appts with Escalation,CARE_MANAGER,374,0.167262969588551
Appts with Escalation,CHAPLAIN,14,0.006261180679785331
Appts with Escalation,CLINICIAN,1026,0.4588550983899821
Appts with Escalation,COACH,439,0.19633273703041146
Appts with Escalation,OTHER,1,0.0004472271914132379
Appts with Escalation,PEER,6,0.0026833631484794273
Appts with Escalation,PSYCHIATRIST,359,0.1605545617173524
Appts with Escalation,UNDEFINED,17,0.007602862254025045
Appts with Escalation - Past 90 Days,CARE_MANAGER,3,0.2727272727272727
Appts with Escalation - Past 90 Days,COACH,5,0.45454545454545453
Appts with Escalation - Past 90 Days,UNDEFINED,3,0.2727272727272727
