Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1398,0.3327779100214235
All Appts,CHAPLAIN,32,0.007617233991906689
All Appts,CLINICIAN,1361,0.32397048321828137
All Appts,COACH,889,0.2116162818376577
All Appts,OTHER,22,0.005236848369435849
All Appts,PEER,11,0.0026184241847179244
All Appts,PSYCHIATRIST,443,0.10545108307545822
All Appts,UNDEFINED,45,0.010711735301118781
All Appts - Past 90 Days,CARE_MANAGER,73,0.3802083333333333
All Appts - Past 90 Days,CHAPLAIN,1,0.005208333333333333
All Appts - Past 90 Days,CLINICIAN,22,0.11458333333333333
All Appts - Past 90 Days,COACH,53,0.2760416666666667
All Appts - Past 90 Days,UNDEFINED,43,0.22395833333333334
Appts with Escalation,CARE_MANAGER,367,0.16613852421910366
Appts with Escalation,CHAPLAIN,14,0.006337709370755998
Appts with Escalation,CLINICIAN,1026,0.4644635581711182
Appts with Escalation,COACH,419,0.18967858759619738
Appts with Escalation,OTHER,10,0.004526935264825713
Appts with Escalation,PEER,6,0.002716161158895428
Appts with Escalation,PSYCHIATRIST,359,0.1625169760072431
Appts with Escalation,UNDEFINED,8,0.0036215482118605704
Appts with Escalation - Past 90 Days,CARE_MANAGER,2,0.15384615384615385
Appts with Escalation - Past 90 Days,CLINICIAN,1,0.07692307692307693
Appts with Escalation - Past 90 Days,COACH,3,0.23076923076923078
Appts with Escalation - Past 90 Days,UNDEFINED,7,0.5384615384615384
