Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,367,0.16636446056210336
All,CHAPLAIN,14,0.006346328195829556
All,CLINICIAN,1026,0.46509519492293744
All,COACH,416,0.1885766092475068
All,OTHER,10,0.004533091568449683
All,PEER,6,0.0027198549410698096
All,PSYCHIATRIST,359,0.1627379873073436
All,UNDEFINED,8,0.003626473254759746
Mild,CARE_MANAGER,154,0.20505992010652463
Mild,CHAPLAIN,8,0.010652463382157125
Mild,CLINICIAN,157,0.20905459387483355
Mild,COACH,351,0.4673768308921438
Mild,OTHER,8,0.010652463382157125
Mild,PSYCHIATRIST,70,0.09320905459387484
Mild,UNDEFINED,3,0.0039946737683089215
Moderate,CARE_MANAGER,200,0.16168148746968472
Moderate,CHAPLAIN,5,0.004042037186742118
Moderate,CLINICIAN,824,0.666127728375101
Moderate,COACH,53,0.04284559417946645
Moderate,OTHER,2,0.0016168148746968471
Moderate,PEER,4,0.0032336297493936943
Moderate,PSYCHIATRIST,144,0.116410670978173
Moderate,UNDEFINED,5,0.004042037186742118
Severe,CARE_MANAGER,15,0.06666666666666667
Severe,CHAPLAIN,1,0.0044444444444444444
Severe,CLINICIAN,49,0.21777777777777776
Severe,COACH,13,0.057777777777777775
Severe,PEER,2,0.008888888888888889
Severe,PSYCHIATRIST,145,0.6444444444444445
