Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,369,0.166741979213737
All,CHAPLAIN,14,0.0063262539539087215
All,CLINICIAN,1026,0.46362403976502486
All,COACH,419,0.18933574333483957
All,OTHER,10,0.004518752824220515
All,PEER,6,0.0027112516945323093
All,PSYCHIATRIST,359,0.1622232263895165
All,UNDEFINED,10,0.004518752824220515
Mild,CARE_MANAGER,155,0.20611702127659576
Mild,CHAPLAIN,8,0.010638297872340425
Mild,CLINICIAN,157,0.20877659574468085
Mild,COACH,351,0.46675531914893614
Mild,OTHER,8,0.010638297872340425
Mild,PSYCHIATRIST,70,0.09308510638297872
Mild,UNDEFINED,3,0.003989361702127659
Moderate,CARE_MANAGER,200,0.1610305958132045
Moderate,CHAPLAIN,5,0.004025764895330112
Moderate,CLINICIAN,824,0.6634460547504025
Moderate,COACH,56,0.04508856682769726
Moderate,OTHER,2,0.001610305958132045
Moderate,PEER,4,0.00322061191626409
Moderate,PSYCHIATRIST,144,0.11594202898550725
Moderate,UNDEFINED,7,0.005636070853462158
Severe,CARE_MANAGER,16,0.07079646017699115
Severe,CHAPLAIN,1,0.004424778761061947
Severe,CLINICIAN,49,0.2168141592920354
Severe,COACH,13,0.05752212389380531
Severe,PEER,2,0.008849557522123894
Severe,PSYCHIATRIST,145,0.6415929203539823
