Escalation,Provider Role,appt_count,appt_pct
All,CARE_MANAGER,374,0.16748768472906403
All,CHAPLAIN,14,0.006269592476489028
All,CLINICIAN,1026,0.45947156291983876
All,COACH,437,0.19570085087326466
All,OTHER,1,0.0004478280340349306
All,PEER,6,0.0026869682042095834
All,PSYCHIATRIST,359,0.16077026421854007
All,UNDEFINED,16,0.007165248544558889
Mild,CARE_MANAGER,157,0.2054973821989529
Mild,CHAPLAIN,8,0.010471204188481676
Mild,CLINICIAN,157,0.2054973821989529
Mild,COACH,365,0.47774869109947643
Mild,OTHER,1,0.0013089005235602095
Mild,PSYCHIATRIST,70,0.09162303664921466
Mild,UNDEFINED,6,0.007853403141361256
Moderate,CARE_MANAGER,202,0.16172938350680544
Moderate,CHAPLAIN,5,0.0040032025620496394
Moderate,CLINICIAN,824,0.6597277822257807
Moderate,COACH,60,0.04803843074459568
Moderate,PEER,4,0.0032025620496397116
Moderate,PSYCHIATRIST,144,0.11529223378702963
Moderate,UNDEFINED,10,0.008006405124099279
Severe,CARE_MANAGER,17,0.07488986784140969
Severe,CHAPLAIN,1,0.004405286343612335
Severe,CLINICIAN,49,0.21585903083700442
Severe,COACH,13,0.05726872246696035
Severe,PEER,2,0.00881057268722467
Severe,PSYCHIATRIST,145,0.6387665198237885
