Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1431,0.33348869727336283
All Appts,CHAPLAIN,33,0.0076905150314611976
All Appts,CLINICIAN,1361,0.3171754835702633
All Appts,COACH,917,0.2137030995106036
All Appts,OTHER,23,0.005360055931018411
All Appts,PEER,11,0.002563505010487066
All Appts,PSYCHIATRIST,443,0.10323933814961547
All Appts,UNDEFINED,72,0.016779305523188067
All Appts - Past 90 Days,CARE_MANAGER,58,0.31868131868131866
All Appts - Past 90 Days,CHAPLAIN,2,0.01098901098901099
All Appts - Past 90 Days,CLINICIAN,13,0.07142857142857142
All Appts - Past 90 Days,COACH,57,0.3131868131868132
All Appts - Past 90 Days,UNDEFINED,52,0.2857142857142857
Appts with Escalation,CARE_MANAGER,370,0.16651665166516652
Appts with Escalation,CHAPLAIN,14,0.0063006300630063005
Appts with Escalation,CLINICIAN,1026,0.46174617461746176
Appts with Escalation,COACH,424,0.19081908190819083
Appts with Escalation,OTHER,10,0.004500450045004501
Appts with Escalation,PEER,6,0.0027002700270027003
Appts with Escalation,PSYCHIATRIST,359,0.16156615661566157
Appts with Escalation,UNDEFINED,13,0.0058505850585058505
Appts with Escalation - Past 90 Days,CARE_MANAGER,3,0.14285714285714285
Appts with Escalation - Past 90 Days,COACH,8,0.38095238095238093
Appts with Escalation - Past 90 Days,UNDEFINED,10,0.47619047619047616
