Appt Data,Provider Role,appt_count,appt_pct
All Appts,CARE_MANAGER,1580,0.33876500857632935
All Appts,CHAPLAIN,38,0.008147512864493996
All Appts,CLINICIAN,1361,0.29180960548885077
All Appts,COACH,1024,0.2195540308747856
All Appts,OTHER,2,0.0004288164665523156
All Appts,PEER,11,0.0023584905660377358
All Appts,PSYCHIATRIST,443,0.09498284734133791
All Appts,UNDEFINED,205,0.04395368782161235
All Appts - Past 90 Days,CARE_MANAGER,60,0.375
All Appts - Past 90 Days,CHAPLAIN,3,0.01875
All Appts - Past 90 Days,COACH,38,0.2375
All Appts - Past 90 Days,UNDEFINED,59,0.36875
Appts with Escalation,CARE_MANAGER,374,0.16644414775255897
Appts with Escalation,CHAPLAIN,14,0.006230529595015576
Appts with Escalation,CLINICIAN,1026,0.45660881174899864
Appts with Escalation,COACH,440,0.19581664441477525
Appts with Escalation,OTHER,1,0.0004450378282153983
Appts with Escalation,PEER,6,0.0026702269692923898
Appts with Escalation,PSYCHIATRIST,359,0.159768580329328
Appts with Escalation,UNDEFINED,27,0.012016021361815754
Appts with Escalation - Past 90 Days,COACH,3,0.2727272727272727
Appts with Escalation - Past 90 Days,UNDEFINED,8,0.7272727272727273
