topic_num,top_words,coded_theme_reviewer1,coded_theme_reviewer2,coded_theme_reviewer3,combined_theme
Topic_0,"self, need, link, break, tip, care, time, recommendation, calendar, way, session, always, management, many, attendee, several, substance, title, burnout, burn",,,,
Topic_1,"other, learn, self, maybe, need, help, trauma, population, effect, share, think, habit, mention, make, much, new, target, happiness, bring, break",,,,
Topic_2,"work, balance, life, improve, interaction, stressful, want, intentionality, personal, overall, presentation, self, care, relate, learn, job, mindfulness, concrete, distress, recent",,,,
Topic_3,"recommendation, other, action, specific, reflect, savor, time, respond, relationship, advice, value, learn, live, personal, self, know, improvement, want, affect, growth",,,,
Topic_4,"tip, get, quick, anxiety, bad, look, seem, want, reminder, group, good, challenging, crave, always, know, trauma, immediately, practical, suggestion, sure",,,,
Topic_5,"work, able, think, real, relationship, topic, tool, covid, time, listen, session, moment, people, allow, communication, stress, life, record, issue, make",,,,
Topic_6,"sleep, recommendation, hour, program, night, improve, offer, caffeine, weight, participate, tip, discuss, especially, new, want, medication, apnea, wake, loss, currently",,,,
Topic_7,"stress, work, business, adolescent, cope, find, family, end, strategy, day, way, unfinished, holiday, little, perhaps, habit, change, lifestyle, depression, balance",,,,
Topic_8,"interaction, feel, need, suggest, cobalt, long, assessement, base, make, daily, specific, offer, free, guilty, say, incredibly, center, use, relatable, opportunity",,,,
Topic_9,"good, think, slide, time, recording, legacy, facilitator, tone, different, hope, family, approach, positive, make, grief, week, motivation, priority, anxiety, value",,,,
Topic_10,"daughter, deal, anxiety, grief, habit, bad, break, type, set, answer, group, friendship, change, difficulty, reminder, well, struggle, life, make, future",,,,
Topic_11,"time, day, experience, recommendation, personal, information, partly, take, project, performance, elderly, recommend, know, lecture, growth, find, right, large, work, grief",,,,
Topic_12,"see, session, relevant, lot, alone, maintain, honestly, cover, good, tip, current, birthing, validation, recent, struggle, personal, go, sign, event, balance",,,,
Topic_13,"help, learn, strategy, event, new, skill, good, social, time, say, plan, handle, information, conflict, link, stress, deal, seek, socially, hear",,,,
