,topic_id,topic_top_words,resp_concat_text,dominant_topic,session_name,session_date,host_name
306,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","i'm interested in the topic. (i'm good at time management and am always looking for ways to improve, especially given that my living situation changed rather drastically a bit over a year ago.) 3 things: 1. i'd never heard of the eisenhower decision matrix (great tool!); 2. the reinforcement that one should focus on what 'action choice' (for lack of a better word) will best reinforce my long-term desires; and 3. directly related to #2, the reinforcement of boundary definition. i just listened to a great 'dear sugars' podcast episode in which cheryl strayed & steve almond discuss 'saying no' with oprah winfrey. it's terrific--i can always use encouragement in this area (many people ask me for help!)--and this workshop did just that. thank you!! i can't think of anything. although i'm curious what other topics lily brown was planning to introduce (she said she ran out of time), i thought it was terrific. i've always been interested in habit formation and breaking down big tasks - and i love hearing different 'takes' on those topics!",Topic_0,time management,2023-09-12,lily
254,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","i like to hear other perspectives and approaches to this topic. it was good food for thought - good reinforcement of the kinds of things i review weekly i loved the tone, but i disliked 2 items: 1. the way i generated my honest list of priorities/values was first to consider how i spend my time, since i believe my actual choices are the clearest evidence of my priorities; so when we got to the second portion of the exercise, there was nothing for me to do. and 2. the emphasis on external motivation in the 'what would i like my legacy to be?' question. it's been my experience that modern people are very preoccupied with worrying about what others think of them instead of reaching deep to find their own values and practice them. in other words, i think a good legacy is an incidental by-product of healthy self-motivation. hope that makes sense! otherwise, as i say, i loved the tone of the course. i like lily brown's warm approach. stress management issues",Topic_0,getting reconnected to the _big picture_,2023-08-10,lily
263,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","as i've gotten older, i've started distancing myself from toxic friendships but have found it difficult to form new ones and when i do something happends that they don't last past 1 or 2 ""hangouts"". confirmation on how i have felt in the past during the situations she discussed. ex. i've felt exactly what she said but after pushing myself to go to social events i do end up feeling happy that i ended up going. it was good to hear that is the best way to handle those feelings. only that it would have been nice to hear of examples of social events out here in lancaster. i felt it was more geared to philly. as i've gotten older, i've started distancing myself from toxic friendships but have found it difficult to form new ones and when i do something happends that they don't last past 1 or 2 ""hangouts"".",Topic_0,building a sense of community,2023-08-14,lily
175,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","my husband and i could use some help w communication & i welcome learning new tools to facilitate this! many things, but thinking actively about listening for understanding vs listening for response really resonated w me. on my end - wish i was more able to get into the pause/mindfulness aspect of live participation. sometimes midday, i'm just looking for the tips & tools, less able to stop my day. previous session topics of partner communication & managing anger (i think?) w children were on the mark. i'd be glad for a deeper dive into both of those. also, maybe something on making/building more connected friendships as busy parents/adults.",Topic_0,improving our relationships_ a focus on listening and communication,2024-02-12,erica
80,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","looking for new approaches very clear, succinct, excellent advice i think instead of asking us to write down thoughts in session, i'd provide journalling prompts and ask us to photograph them for later. there isn't time to really process the questions in such a short format, it pulls us away from the excellent content. relationships, how to be friends with coworkers, boundaries, skillful communication of emotional state, self-regulation techniques while under duress, interpersonal skills, etiquette/manners and the reason for them, empathy, compassion, compassion fatigue, burn-out, self-care at work.",Topic_0,improving our relationships,2023-10-09,erica
222,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","i've been very busy with school and work. feel like it's been hard to maintain friendships with people from all phases of my life. thought this might help touch on some of these challenges. i feel like the talk provided more of a context or normalcy to the topic, more then providing too much specific help. i understand that, as it i'm sure it's very individual specific. but the general advice did not really change my perspective or my intended future actions.  post grad school plans",Topic_0,building a social network,2023-07-20,lily
27,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss",i have had two very close deaths within the past 6 weeks the facilitator provided additional information beyond the 5 stages of grief. also placed emphasis of processing grief to not last beyond a 12 month time period. the facilitator did note the time frame is different for everyone as to how long thy grieve... someone does understand the pain of death and yet there is hope during our saddness. how to effectively handle change? how to retain optimism in the current world we live in?,Topic_0,coping with grief and loss,2023-07-13,erica
71,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","improve communication at home and at work thought it was interesting to add mindfulness and grounding at the start of the meeting. more meeting should start that way ;0) a bit more time, it did feel a bit rushed attempting to get all the information to the participants. perhaps a handout before but better after the meeting to help us recall the information. mindfulness, stress management.",Topic_0,improving our relationships,2023-10-09,erica
316,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","subject interested me -for myself and child. some interesting information was discussed but since session is short maybe she must keep it ""short and sweet"". make it a longer session by at least 15 mins and add night terrors to future discussion. dr. brown said she'd talk about night terrors later but never mentioned it again. maybe she ran out of time.",Topic_0,understanding nightmares,2023-09-18,lily
125,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss",interest in subject good tips for handling stressful annoying family original email had the wrong link. about 12 of us were sitting in room waiting. finally someone sent us the new link. please check that next time. helping tweens and teens deal with anxiety and stress; financial planning for women,Topic_0,supporting your loved ones with anxiety or depression as the holidays approach,2023-11-13,erica
266,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","any skills i can learn to help me socially are something i seek out its normal to not feel motivated to keep social plans more conflict resolution skills perhaps when a social event that has been planned for a long time, gets changed last minute any skills i can learn to help me socially are something i seek out",Topic_0,building a sense of community,2023-08-14,lily
190,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","i thoroughly enjoy dr. brown's sessions! she is so knowledgeable and uses research to back her recommendations for behavior change in a very actionable way. i found applicable tips/recommendations and lots of encouragement to make change slowly, one step at a time, and to be gentle with myself along the way.  pregnancy and postpartum mood changes.",Topic_0,breaking bad habits,2023-07-14,lily
426,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","i am very hard on myself, and almost always talk to myself negatively. i wanted to join this session because i need to make changes to the way i speak to myself, and think of myself. techniques for practicing self-love; starting out with small adjustments to my thinking make it longer! pm report, wellfocused calendar",Topic_0,self-love,2024-02-15,lily
31,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","my parents both passed in the last year. still struggling some days. acceptance that it is ok to still be grieving. a little longer with more detail. most of what was shared was info i have read in articles. i was hoping to have more depth to reflect and look inward so i can find 'closure', or acceptance on some level.",Topic_0,coping with grief and loss,2023-07-13,erica
117,Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss","the topic was relatable. i learned a practical tool, to soften the critical voice (imagine a friend is extending you grace and gives you advice). i appreciate the short period of time, but i would like to learn more on this topic. personal development, positive psychology, self-help, teamwork, motivation",Topic_0,discovering a positive relationship with yourself,2023-10-30,erica
355,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",i am struggling as a caregiver. my life is not my own knowing that so many are experiencing the same things day to day nothing,Topic_1,managing caregiver burnout,2023-10-12,lily
8,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",i am a hospice nurse how important compassion can be group participation how to remain positive,Topic_1,coping with grief and loss,2023-07-13,erica
422,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",the title of the course being a survivor of domestic violence i felt this was very helpful for others and myself,Topic_1,relationships that hurt_ navigating intimate partner violence,2024-02-06,lily
62,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",i consistently have a hard time falling asleep relaxation tips were very helpful nothing,Topic_1,getting better sleep,2023-09-13,erica
42,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",i feel like i don't have time to relax i feel like i don't have time to relax longer with more information,Topic_1,finding work_life balance,2023-08-08,erica
408,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",i do trauma trainings so wanted more info the background on effects of trauma in adults,Topic_1,coping with recent or ongoing trauma,2024-01-11,lily
288,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",recently lost my mother and it spoke to me sleep recommedations  parenting,Topic_1,coping with grief,2023-08-30,lily
213,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",looking to improve my social network  anonymous interaction similar,Topic_1,building a social network,2023-07-20,lily
154,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",been feeling stressed. sense of community; demeanor of host,Topic_1,promoting positive affect in the winter months,2024-01-09,erica
403,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die","dealing with past trauma, getting worse everything! nothing",Topic_1,coping with recent or ongoing trauma,2024-01-11,lily
179,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",depression mrs. brown is personable and mindful of chat questions.,Topic_1,family check-in,2023-06-28,lily
219,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",social networking not cancel out on invitations,Topic_1,building a social network,2023-07-20,lily
298,Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",my dad is dying,Topic_1,coping with grief,2023-08-30,lily
