,topic_id,topic_top_words,resp_concat_text,dominant_topic,session_name,session_date,host_name
211,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",find ways of coping with stress caring for aging parent   learning to worry less/relaxation,Topic_0,building a social network,2023-07-20,lily
158,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",the ability to learn tools to be helpful in the area discussed for our children. i liked the cbt suggestion to implement. it was a lot of information in a short amount of time. maybe divide the topics into two sessions.,Topic_0,parents @ penn medicine_ supporting your child with anxiety,2024-01-16,erica
70,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",the topic just thinking about different relationships in my life and communicating with them n/a!,Topic_0,improving our relationships,2023-10-09,erica
25,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",personal grief reminder that other people are struggling with grief,Topic_0,coping with grief and loss,2023-07-13,erica
248,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",interested in tips for finding adult friendships that it's normal to dread social engagements. some time for q+a how to identify others who share your values,Topic_0,sleep tips,2023-07-24,lily
63,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",insomnia the deep breathing technique nothing,Topic_0,getting better sleep,2023-09-13,erica
108,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn","managing emotions, especially when stressed can be challenging. some of the strategies discussed.",Topic_0,strategies for emotion regulation,2023-10-24,erica
170,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",useful topic/advice how-to tips have time for q&a anything related to eq,Topic_0,improving our relationships_ a focus on listening and communication,2024-02-12,erica
214,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn","sounded interesting and applicable  didn't discuss how to find people to make friends, just how to make sure you keep plans. how do i find people interested in being my friend?",Topic_0,building a social network,2023-07-20,lily
172,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",i needed to improve my personal interactions with those around me. i felt validated by things that were said and i learned how to better navigate difficult interactions,Topic_0,improving our relationships_ a focus on listening and communication,2024-02-12,erica
28,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",i have lost some dear ones in the recent past so wanted to see if i'm doing okay just going through things and familiarity with the process,Topic_0,coping with grief and loss,2023-07-13,erica
49,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn","i am 8 months pregant it was just ok make in longer, no so general parenting, communicating effectively",Topic_0,preparing for the post-partum period and maternity leave,2023-08-22,erica
318,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",topic learned difference between nightmare and night terror as i left session after 10min i really cannot comment,Topic_0,understanding nightmares,2023-09-18,lily
117,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn","the topic was relatable. i learned a practical tool, to soften the critical voice (imagine a friend is extending you grace and gives you advice). i appreciate the short period of time, but i would like to learn more on this topic. personal development, positive psychology, self-help, teamwork, motivation",Topic_0,discovering a positive relationship with yourself,2023-10-30,erica
243,Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",stress/lack of sleep/desire for general lifestyle improvement it was a little more in depth than other sessions,Topic_0,sleep tips,2023-07-24,lily
142,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",i am a new mom recently returning to work i really appreciated the validation that feeling different emotions are okay and at the same time reframing our thoughts can have a positive impact,Topic_1,penn parenting_ emotion regulation in parenthood,2023-12-19,erica
11,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",i am trying to with grief that my feelings are valid not that would. it just seemed impersonal.,Topic_1,coping with grief and loss,2023-07-13,erica
21,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",loss of parents i could not attend,Topic_0,coping with grief and loss,2023-07-13,erica
131,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",reflection time time for comments,Topic_1,coping with grief during the holidays,2023-11-29,erica
126,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",my father passed around xmas coping mechanisms offered and rationale for feelings observed nothing adolescent transitions to college,Topic_0,coping with grief during the holidays,2023-11-29,erica
263,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief","as i've gotten older, i've started distancing myself from toxic friendships but have found it difficult to form new ones and when i do something happends that they don't last past 1 or 2 ""hangouts"". confirmation on how i have felt in the past during the situations she discussed. ex. i've felt exactly what she said but after pushing myself to go to social events i do end up feeling happy that i ended up going. it was good to hear that is the best way to handle those feelings. only that it would have been nice to hear of examples of social events out here in lancaster. i felt it was more geared to philly. as i've gotten older, i've started distancing myself from toxic friendships but have found it difficult to form new ones and when i do something happends that they don't last past 1 or 2 ""hangouts"".",Topic_0,building a sense of community,2023-08-14,lily
18,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",experiencing my own grief time heals all wounds nothing,Topic_0,coping with grief and loss,2023-07-13,erica
118,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",work on myself the different steps to do,Topic_0,discovering a positive relationship with yourself,2023-10-30,erica
251,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",wanted to hear the information. the information itself. nothing elder care for parents,Topic_0,getting reconnected to the _big picture_,2023-08-10,lily
27,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",i have had two very close deaths within the past 6 weeks the facilitator provided additional information beyond the 5 stages of grief. also placed emphasis of processing grief to not last beyond a 12 month time period. the facilitator did note the time frame is different for everyone as to how long thy grieve... someone does understand the pain of death and yet there is hope during our saddness. how to effectively handle change? how to retain optimism in the current world we live in?,Topic_0,coping with grief and loss,2023-07-13,erica
51,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",expecting future resources make it clear what type of questions would be answered.,Topic_0,preparing for the post-partum period and maternity leave,2023-08-22,erica
79,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",want to improve my communication and manage emotions tools to help me pause before reacting add handout or cheat sheet as reminders,Topic_0,improving our relationships,2023-10-09,erica
53,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",need for support with post partum and returning to work strategies when it comes to asking for help and taking things step by step. more q & a time resources for employees that may only apply pre or post pregnancy,Topic_10,preparing for the post-partum period and maternity leave,2023-08-22,erica
2,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",feeling burnt out affirmations of what i know i need to do and other practical ways to combat burnout,Topic_0,staying effective when burned out,2023-06-14,erica
3,Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",burn out  real talk about the hospital they kept it general instead of talking about real work stressors and dealing with them,Topic_0,staying effective when burned out,2023-06-14,erica
53,Topic_2,"change, time, make, find, people, way, pay, community, event, avenue, friend, session, sleep, think, join, go, mindfulness, recommendation, applicable, medicine",need for support with post partum and returning to work strategies when it comes to asking for help and taking things step by step. more q & a time resources for employees that may only apply pre or post pregnancy,Topic_10,preparing for the post-partum period and maternity leave,2023-08-22,erica
2,Topic_2,"change, time, make, find, people, way, pay, community, event, avenue, friend, session, sleep, think, join, go, mindfulness, recommendation, applicable, medicine",feeling burnt out affirmations of what i know i need to do and other practical ways to combat burnout,Topic_0,staying effective when burned out,2023-06-14,erica
3,Topic_2,"change, time, make, find, people, way, pay, community, event, avenue, friend, session, sleep, think, join, go, mindfulness, recommendation, applicable, medicine",burn out  real talk about the hospital they kept it general instead of talking about real work stressors and dealing with them,Topic_0,staying effective when burned out,2023-06-14,erica
4,Topic_2,"change, time, make, find, people, way, pay, community, event, avenue, friend, session, sleep, think, join, go, mindfulness, recommendation, applicable, medicine",i wanted one of my employees to attend i liked the shift in perspective,Topic_0,improving the relationship with yourself,2023-07-06,erica
5,Topic_2,"change, time, make, find, people, way, pay, community, event, avenue, friend, session, sleep, think, join, go, mindfulness, recommendation, applicable, medicine",personal goals topic more resources if available,Topic_0,improving the relationship with yourself,2023-07-06,erica
