topic_num,top_words,coded_theme_reviewer1,coded_theme_reviewer2,coded_theme_reviewer3,combined_theme
Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time",,,,
Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",,,,
Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",,,,
Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",,,,
Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",,,,
Topic_5,"work, nothing, sleep, time, life, balance, year, stress, different, want",,,,
Topic_6,"nothing, time, information, grief, questions, personal, like, recommendations, yes, self",,,,
Topic_7,"nothing, good, like, going, tips, loss, recent, would, way, stress",,,,
Topic_8,"nothing, time, im, change, life, sessions, make, way, session, recommendations",,,,
Topic_9,"nothing, time, work, stress, self, new, anxiety, recommendations, loss, dealing",,,,
