topic_num,top_words,coded_theme_reviewer1,coded_theme_reviewer2,coded_theme_reviewer3,combined_theme
Topic_0,"hour, personal, interaction, thing, navigate, validate, adolescent, feel, offer, financial, say, well, participant, coaching, nteraction, difficult, holiday, instead, half, learn",,,,
Topic_1,"loss, skill, general, already, expect, organizational, tip, way, first, free, counseling, knowledge, cope, hone, offer, invitation, anxiety, baby, specific, grief",,,,
Topic_2,"change, time, make, find, people, way, pay, community, event, avenue, friend, session, sleep, think, join, go, mindfulness, recommendation, applicable, medicine",,,,
Topic_3,"meeting, bit, improve, time, work, information, start, value, participant, stress, disposition, less, like, dedicate, much, suggest, presentation, well, communication, ground",,,,
Topic_4,"violence, philly, impact, refresher, good, chronic, client, time, severely, daily, deal, reflection, many, basis, comment, lecture, survey, social, network, incorporate",,,,
Topic_5,"time, feel, do, relax, lack, reflection, stress, m, interested, identify, work, parent, presentation, evolve, plan, evaluation, dread, performance, deal, love",,,,
Topic_6,"effective, care, access, life, communication, navigate, automatically, resolution, facility, man, trauma, long, offer, cobalt, change, appreciate, grieve, dad, possibly, transparency",,,,
Topic_7,"help, deal, helpful, grief, find, learn, caregiver, session, sleep, die, step, available, loved, polar, population, look, project, one, still, violence",,,,
Topic_8,"ground, helpful, population, patient, course, title, overall, survivor, stay, feel, productive, domestic, moment, action, winter, timely, work, specific, strategy, ptsd",,,,
Topic_9,"always, m, time, great, well, hear, good, topic, reinforcement, management, interested, say, think, burn, definition, sugar, reinforce, primer, love, relate",,,,
Topic_10,"family, mom, home, holiday, activity, opportunity, manage, tip, try, love, multiple, blend, balance, alzheimer, expectation, understand, overwhelmed, stage, way, caregiver",,,,
Topic_11,"maintain, personal, work, life, event, stress, holiday, see, alone, support, balance, knowledgeable, recent, speaker, go, struggle, learn, resource, mental_health, intellectual",,,,
Topic_12,"time, recommendation, help, think, motivation, habit, good, self, value, find, make, thing, say, want, management, education, note, communication, resource, priority",,,,
Topic_13,"attend, way, work, get, think, suggestion, connect, colleague, interactive, react, current, interpersonal, adapt, talk, build, mood, first, network, name, anxiety",,,,
Topic_14,"technique, daily, good, anxiety, self, honestly, suggestion, minute, holiday, need, feeling, discussion, current, sign, relevant, see, tip, identify, group, well",,,,
Topic_15,"grief, personal, people, information, skill, minute, example, cancer, work, highlight, link, anonymous, network, lot, unpacked, social, experience, boundary, moment, reminder",,,,
Topic_16,"work, long, struggle, deal, define, make, talk, acceptance, grief, real, session, still, stimulus, balance, year, concrete, value, parent, tip, intentionality",,,,
Topic_17,"trauma, work, great, talk, deal, well, cope, info, life, make, present, skill, concept, relationship, answer, prioritization, caregiver, know, navigate, balance",,,,
Topic_18,"session, help, time, stress, self, look, care, boundary, break, information, need, grief, management, title, relationship, change, different, question, excellent, meet",,,,
Topic_19,"anxiety, suggest, assessement, strategy, tip, quick, cobalt, need, base, emotion, stop, smoothing, effect, negative, holiday, worry, get, slide, deal, reduce",,,,
Topic_20,"know, include, link, need, care, help, cobalt, self, feel, long, sleep, hear, intuitive, wish, stressed, always, expert, calendar, discuss, minute",,,,
Topic_21,"time, night, event, wake, grief, information, talk, long, say, interested, make, discussion, session, terror, maybe, short, decision, afterward, experience, son",,,,
Topic_22,"find, end, day, stress, difficult, new, way, time, learn, event, hangout, toxic, go, discuss, get, one, attend, lot, feel, friendship",,,,
Topic_23,"talk, habit, keep, many, find, change, option, life, everyday, perhaps, stress, back, cope, interested, sleep, age, therapist, bit, wellfocuse, intellectual",,,,
Topic_24,"learn, skill, day, plan, socially, change, social, minute, seek, help, life, give, opener, feel, blue, motivated, strategy, focus, know, go",,,,
Topic_25,"recommendation, loss, sleep, apnea, positive, friend, time, self, learn, living, realize, participate, struggle, improve, want, compassion, presenter, hospice, questionnaire, program",,,,
Topic_26,"make, go, use, deal, guilty, last, year, tool, depression, copy, cope, possible, try, time, handle, self, long, get, little, mechanism",,,,
Topic_27,"anxiety, dear, mother, advice, challenging, love, shift, parenting, emotion, recently, pm, lose, explanation, recommedation, self, well, relevant, guide, end, speak",,,,
Topic_28,"understand, make, change, think, meditation, stress, like, hear, caregiver, emotional, save, often, psychology, purchase, event, remorse, ask, teach, trauma, question",,,,
Topic_29,"recommendation, cope, recent, session, self, thing, approach, last, small, member, symptom, learn, fact, always, daily, interesting, hug, communicating, agree, changeable",,,,
Topic_30,"make, excuse, information, belief, involve, person, always, need, slide, recognize, stop, strategy, relationship, time, negative, personal, keep, dynamic, social, growth",,,,
Topic_31,"connect, night, improve, workable, leave, restful, grief, find, really, deescalate, difference, terror, death, people, comment, strategy, handle, other, situation, relationship",,,,
Topic_32,"tip, look, resource, emotion, crave, doctor, new, strategy, work, burnout, communication, always, thought, good, wait, check, cave, sure, little, physiological",,,,
Topic_33,"brief, emotion, understand, loss, spouse, stage, different, opportunity, sharing, project, partly, mitigate, cover, lecture, large, intellectual, incorporate, course, easily, logical",,,,
Topic_34,"single, parent, sleep, divide, life, calm, child, skill, balance, stress, extremely, parenting, need, feel, handout, attention, overwhelmed, cope, tactic, use",,,,
Topic_35,"work, new, time, learn, session, year, tool, give, help, tip, communication, improve, long, perspective, able, family, parent, look, thing, relate",,,,
Topic_36,"time, volunteer, session, community, deal, new, link, inspiration, involve, present, tip, want, stressful, discuss, already, work, emotion, appreciate, m, finally",,,,
Topic_37,"self, time, anxiety, basic, year, explanation, feel, ok, rewatch, challenge, brief, transcript, do, s, suffer, people, save, get, speaker, end",,,,
Topic_38,"communication, begin, good, life, opportunity, none, supportive, status, still, time, year, meet, attach, support, end, session, intelligence, well, applicable, emotional",,,,
Topic_39,"learn, well, grief, stressful, relaxed, feel, weight, keep, life, maybe, sure, balance, time, broad, know, title, example, job, material, present",,,,
Topic_40,"sense, prior, work, engaging, family, attend, practical, dynamic, session, make, learn, lot, engage, home, experience, burnout, breath, interesting, presenter, anxiety",,,,
Topic_41,"stress, tip, minimize, issue, way, motivated, relaxation, tool, always, fall, helpful, experience, open, hard, suggest, sleep, life, combat, gain, overcome",,,,
Topic_42,"learn, look, shame, time, way, stress, recommendation, grief, anonymity, stressor, manage, remember, mentally, effective, back, reaction, give, help, forward, think",,,,
Topic_43,"home, maintain, life, trick, segment, boundary, sure, cope, employe, currently, other, grief, chore, avoid, family, crisis, scheduling, focus, flexibility, use",,,,
Topic_44,"anxiety, step, develop, conversation, patient, interesting, family, help, connection, community, long, information, opposite, well, member, relationship, adolescent, study, session, interaction",,,,
Topic_45,"death, feeling, cope, observe, information, discuss, unique, excellent, new, pass, effectively, family, transition, recent, present, organization, perspective, rationale, criticism, group",,,,
Topic_46,"work, feel, use, impact, life, allow, provide, help, advice, school, post, covid, specific, stress, need, return, parent, strategy, m, think",,,,
Topic_47,"back, one, hear, recent, lose, loss, stress, maybe, subject, say, interested, information, audience, process, read, caregiving, reflection, issue, experience, cancer",,,,
Topic_48,"mindfulness, personal, year, recognition, life, need, balance, interrupt, make, grief, different, overall, hygiene, perspective, sleep, seminar, death, goal, daily, anniversary",,,,
Topic_49,"time, learn, present, people, work, balance, real, valid, session, great, often, informative, make, specific, management, kindly, helpful, various, reflect, attend",,,,
