,topic_id,topic_top_words,resp_concat_text,dominant_topic,session_name,session_date,host_name
185,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","i'm interested in the topic. (i'm good at time management and am always looking for ways to improve, especially given that my living situation changed rather drastically a bit over a year ago.) 3 things: 1. i'd never heard of the eisenhower decision matrix (great tool!); 2. the reinforcement that one should focus on what 'action choice' (for lack of a better word) will best reinforce my long-term desires; and 3. directly related to #2, the reinforcement of boundary definition. i just listened to a great 'dear sugars' podcast episode in which cheryl strayed & steve almond discuss 'saying no' with oprah winfrey. it's terrific--i can always use encouragement in this area (many people ask me for help!)--and this workshop did just that. thank you!! i can't think of anything. although i'm curious what other topics lily brown was planning to introduce (she said she ran out of time), i thought it was terrific. i've always been interested in habit formation and breaking down big tasks - and i love hearing different 'takes' on those topics!",Topic_0,time management,2023-09-12,lily
120,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","i like to hear other perspectives and approaches to this topic. it was good food for thought - good reinforcement of the kinds of things i review weekly i loved the tone, but i disliked 2 items: 1. the way i generated my honest list of priorities/values was first to consider how i spend my time, since i believe my actual choices are the clearest evidence of my priorities; so when we got to the second portion of the exercise, there was nothing for me to do. and 2. the emphasis on external motivation in the 'what would i like my legacy to be?' question. it's been my experience that modern people are very preoccupied with worrying about what others think of them instead of reaching deep to find their own values and practice them. in other words, i think a good legacy is an incidental by-product of healthy self-motivation. hope that makes sense! otherwise, as i say, i loved the tone of the course. i like lily brown's warm approach. stress management issues",Topic_0,getting reconnected to the _big picture_,2023-08-10,lily
129,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","as i've gotten older, i've started distancing myself from toxic friendships but have found it difficult to form new ones and when i do something happends that they don't last past 1 or 2 ""hangouts"". confirmation on how i have felt in the past during the situations she discussed. ex. i've felt exactly what she said but after pushing myself to go to social events i do end up feeling happy that i ended up going. it was good to hear that is the best way to handle those feelings. only that it would have been nice to hear of examples of social events out here in lancaster. i felt it was more geared to philly. as i've gotten older, i've started distancing myself from toxic friendships but have found it difficult to form new ones and when i do something happends that they don't last past 1 or 2 ""hangouts"".",Topic_0,building a sense of community,2023-08-14,lily
422,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","my husband and i could use some help w communication & i welcome learning new tools to facilitate this! many things, but thinking actively about listening for understanding vs listening for response really resonated w me. on my end - wish i was more able to get into the pause/mindfulness aspect of live participation. sometimes midday, i'm just looking for the tips & tools, less able to stop my day. previous session topics of partner communication & managing anger (i think?) w children were on the mark. i'd be glad for a deeper dive into both of those. also, maybe something on making/building more connected friendships as busy parents/adults.",Topic_0,improving our relationships_ a focus on listening and communication,2024-02-12,erica
254,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","looking for new approaches very clear, succinct, excellent advice i think instead of asking us to write down thoughts in session, i'd provide journalling prompts and ask us to photograph them for later. there isn't time to really process the questions in such a short format, it pulls us away from the excellent content. relationships, how to be friends with coworkers, boundaries, skillful communication of emotional state, self-regulation techniques while under duress, interpersonal skills, etiquette/manners and the reason for them, empathy, compassion, compassion fatigue, burn-out, self-care at work.",Topic_0,improving our relationships,2023-10-09,erica
33,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time",i have had two very close deaths within the past 6 weeks the facilitator provided additional information beyond the 5 stages of grief. also placed emphasis of processing grief to not last beyond a 12 month time period. the facilitator did note the time frame is different for everyone as to how long thy grieve... someone does understand the pain of death and yet there is hope during our saddness. how to effectively handle change? how to retain optimism in the current world we live in?,Topic_0,coping with grief and loss,2023-07-13,erica
81,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","i've been very busy with school and work. feel like it's been hard to maintain friendships with people from all phases of my life. thought this might help touch on some of these challenges. i feel like the talk provided more of a context or normalcy to the topic, more then providing too much specific help. i understand that, as it i'm sure it's very individual specific. but the general advice did not really change my perspective or my intended future actions.  post grad school plans",Topic_0,building a social network,2023-07-20,lily
205,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","subject interested me -for myself and child. some interesting information was discussed but since session is short maybe she must keep it ""short and sweet"". make it a longer session by at least 15 mins and add night terrors to future discussion. dr. brown said she'd talk about night terrors later but never mentioned it again. maybe she ran out of time.",Topic_0,understanding nightmares,2023-09-18,lily
326,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time",interest in subject good tips for handling stressful annoying family original email had the wrong link. about 12 of us were sitting in room waiting. finally someone sent us the new link. please check that next time. helping tweens and teens deal with anxiety and stress; financial planning for women,Topic_0,supporting your loved ones with anxiety or depression as the holidays approach,2023-11-13,erica
245,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","improve communication at home and at work thought it was interesting to add mindfulness and grounding at the start of the meeting. more meeting should start that way ;0) a bit more time, it did feel a bit rushed attempting to get all the information to the participants. perhaps a handout before but better after the meeting to help us recall the information. mindfulness, stress management.",Topic_0,improving our relationships,2023-10-09,erica
46,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","i thoroughly enjoy dr. brown's sessions! she is so knowledgeable and uses research to back her recommendations for behavior change in a very actionable way. i found applicable tips/recommendations and lots of encouragement to make change slowly, one step at a time, and to be gentle with myself along the way.  pregnancy and postpartum mood changes.",Topic_0,breaking bad habits,2023-07-14,lily
132,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","any skills i can learn to help me socially are something i seek out its normal to not feel motivated to keep social plans more conflict resolution skills perhaps when a social event that has been planned for a long time, gets changed last minute any skills i can learn to help me socially are something i seek out",Topic_0,building a sense of community,2023-08-14,lily
49,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","some habits i'm interested in breaking. and wellfocused points. it was useful to provide an intellectual framework for changing bad habits. perhaps impractical, but perhaps gathereing info from attendees about what types of behaviors they would like to change and incorporate that a bit more directly in the talk.",Topic_0,breaking bad habits,2023-07-14,lily
186,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","i struggle with productivity in my work - i want to make more progress on the projects that i value i had learned about the einstein matrix for prioritizing work before, but i really liked how dr. brown defined ""urgency"" as tasks that are urgent for you and the kind of career you want to build. that was a new way of thinking about it for me.",Topic_0,time management,2023-09-12,lily
309,Topic_0,"nothing, anxiety, stress, strategies, use, family, tips, children, good, time","the topic was relatable. i learned a practical tool, to soften the critical voice (imagine a friend is extending you grace and gives you advice). i appreciate the short period of time, but i would like to learn more on this topic. personal development, positive psychology, self-help, teamwork, motivation",Topic_0,discovering a positive relationship with yourself,2023-10-30,erica
288,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",juggling a lot right now the questions we had to ask ourselves  saving money while raising a family,Topic_1,balancing work and family_,2023-10-17,erica
365,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",interesting topic of relevance to our family different skills to learn in future situations nothing,Topic_1,penn parenting_ emotion regulation in parenthood,2023-12-19,erica
363,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",family crisis flexibility in scheduling nothing coping with grief and maintaining boundaries,Topic_1,promoting healthy habits,2023-12-15,lily
387,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",i do trauma trainings so wanted more info the background on effects of trauma in adults,Topic_1,coping with recent or ongoing trauma,2024-01-11,lily
32,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",event resonated with me taught me about grief and what to expect wouldn't change anything,Topic_1,coping with grief and loss,2023-07-13,erica
181,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",general knowledge honed in tips i already knew nothing anxiety,Topic_1,coping with grief,2023-08-30,lily
355,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",the holiday's and being with family. steps to deescalate situations. nothing. not sure,Topic_1,promoting conflict resolution in preparation for the holidays,2023-12-12,erica
359,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",the title of the session the session was very helpful. nothing psychological safety,Topic_1,looking back on the year,2023-12-13,lily
257,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress","to learn the community  romantic relationship, race in america",Topic_1,managing caregiver burnout,2023-10-12,lily
321,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",family stress over the holidays  i would not change anything,Topic_1,strategies for stress reduction_ holiday preparation edition,2023-11-09,erica
233,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress","the topic   anxiety, self-care, depression, family",Topic_1,supporting family with anxiety,2023-10-02,lily
23,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",to learn about grief steps of grief,Topic_1,coping with grief and loss,2023-07-13,erica
347,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",the title of the session dear man,Topic_1,boundary setting around the holidays,2023-12-05,lily
135,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",personal growth savoring,Topic_1,strategies for stress reduction (part 2),2023-08-17,erica
287,Topic_1,"nothing, family, learn, skills, self, grief, session, care, loss, stress",self care needs,Topic_1,balancing work and family_,2023-10-17,erica
299,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",i thought oit wpuld be very helpful to me during these difficult times. stop method nothing,Topic_2,strategies for emotion regulation,2023-10-24,erica
307,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",i was interested if i would be able to apply anything to my life.  i would not change anything.,Topic_2,discovering a positive relationship with yourself,2023-10-30,erica
48,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",to participate in wellfocused program. to set smaller goals. no recommendations. any.,Topic_2,breaking bad habits,2023-07-14,lily
141,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",i'm expecting the resources and material duration. should be at least 45 minutes.,Topic_2,preparing for the post-partum period and maternity leave,2023-08-22,erica
265,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",care giver for 3 parents that i am not alone one on one sessions,Topic_2,managing caregiver burnout,2023-10-12,lily
252,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",i know there are always opportunities to improve communication and emotional intelligence,Topic_2,improving our relationships,2023-10-09,erica
410,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",watching a family member help me plan a head,Topic_2,relationships that hurt_ navigating intimate partner violence,2024-02-06,lily
31,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",personal grief reminder that other people are struggling with grief,Topic_2,coping with grief and loss,2023-07-13,erica
243,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",better communication tips for different mindset,Topic_2,improving our relationships,2023-10-09,erica
44,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",a better me applying to everyday life,Topic_2,breaking bad habits,2023-07-14,lily
118,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",the wellfocused resource,Topic_2,getting reconnected to the _big picture_,2023-08-10,lily
213,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",,Topic_0,connecting with other people,2023-09-25,lily
1,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",the topic,Topic_0,staying effective when burned out,2023-06-14,erica
241,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",no no,Topic_0,promoting connection to your partner,2023-10-03,lily
271,Topic_2,"help, nothing, session, communication, life, im, stress, thought, change, better",money,Topic_1,managing caregiver burnout,2023-10-12,lily
333,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others","wanted to hear from expert in field, as a refresher self-reinforcement of cbt principles",Topic_3,savoring time off,2023-11-21,lily
305,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others","interesting topic; sometimes harder on self not alot maybe more time, to provide more substance",Topic_3,discovering a positive relationship with yourself,2023-10-30,erica
4,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",personal ptsd the overview of ptsd make it an hour instead of only half hour,Topic_3,recognizing trauma and ptsd,2023-06-19,lily
354,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",general understading of how to deal with conflict i like the dear man approach.,Topic_3,promoting conflict resolution in preparation for the holidays,2023-12-12,erica
286,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",life knowing it is okay to say no. lol noting at this time.,Topic_3,balancing work and family_,2023-10-17,erica
300,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others","managing emotions, especially when stressed can be challenging. some of the strategies discussed.",Topic_3,strategies for emotion regulation,2023-10-24,erica
198,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",trouble sleeping steps to help you sleep,Topic_3,getting better sleep,2023-09-13,erica
351,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",stress over holidays speaker was very knowledgeable,Topic_3,promoting and enhancing positive mood through the winter months,2023-12-05,erica
219,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",the topic presentation was sent to us,Topic_3,connecting with other people,2023-09-25,lily
109,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",topic relevant topic relevant,Topic_3,finding work_life balance,2023-08-08,erica
0,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",stress all,Topic_3,staying effective when burned out,2023-06-14,erica
361,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",,Topic_0,promoting healthy habits,2023-12-15,lily
1,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",the topic,Topic_0,staying effective when burned out,2023-06-14,erica
241,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",no no,Topic_0,promoting connection to your partner,2023-10-03,lily
92,Topic_3,"time, stress, self, grief, minimize, emotions, us, excellent, hear, others",limeade,Topic_6,sleep tips,2023-07-24,lily
179,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",i just jumped on it when it was presented to me. everything was helpful working on everything how to identify when things are about to happen.,Topic_4,coping with grief,2023-08-30,lily
2,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",feeling burnt out affirmations of what i know i need to do and other practical ways to combat burnout,Topic_4,staying effective when burned out,2023-06-14,erica
256,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",having been a caregiver specific suggestions and examples of thought processes nothing practitioner burnout,Topic_4,managing caregiver burnout,2023-10-12,lily
211,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",personal growth. good information. no changes recommended. no recommendations at this time.,Topic_4,understanding nightmares,2023-09-18,lily
194,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",brief and concise would like to get a transcript or link to rewatch,Topic_4,time management,2023-09-12,lily
71,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",interest in the topic lily is wonderful presenter. she is relatable and non-judgmental.,Topic_4,building a social network,2023-07-20,lily
284,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link","hearing from an expert on the topic reflections, specific & actionable recommendations",Topic_4,balancing work and family_,2023-10-17,erica
391,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",hoping to learn new opportunities to improve,Topic_4,parents @ penn medicine_ supporting your child with anxiety,2024-01-16,erica
156,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",am always up for ways to improve how i interact with others,Topic_4,bringing down emotions,2023-08-25,lily
27,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",loss of parents i could not attend,Topic_4,coping with grief and loss,2023-07-13,erica
399,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",trying to improve myself,Topic_4,managing urges for problematic behaviors,2024-01-23,lily
88,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",attended a number of dr brown's sessions before and they were always helpful,Topic_4,sleep tips,2023-07-24,lily
1,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",the topic,Topic_0,staying effective when burned out,2023-06-14,erica
106,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",,Topic_0,sleep tips,2023-07-24,lily
241,Topic_4,"time, new, recommendations, volunteer, improve, work, helpful, real, us, link",no no,Topic_0,promoting connection to your partner,2023-10-03,lily
329,Topic_5,"work, nothing, sleep, time, life, balance, year, stress, different, want",overall focus on well being suggestions to avoid seclusion no work life balance,Topic_5,fighting back on _hibernation_ mode,2023-11-14,lily
293,Topic_5,"work, nothing, sleep, time, life, balance, year, stress, different, want",it is an area that i want to improve in the easy-to-do tips allot more time for it how to be more articulate,Topic_5,strategies for emotion regulation,2023-10-24,erica
97,Topic_5,"work, nothing, sleep, time, life, balance, year, stress, different, want",struggled with sleep apnea in the past. all content was very helpful nothing undecided,Topic_5,sleep tips,2023-07-24,lily
